City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Vestmannaeyjar,IS,2022-05-12 20:52:12,63.4427,-20.2734,41.18,59,28,16.6
59,Rikitea,PF,2022-05-12 20:47:31,-23.1203,-134.9692,77.4,75,10,20.11
60,Nishihara,JP,2022-05-12 20:52:12,26.1842,127.7558,78.85,97,75,13.8
61,Saint George,US,2022-05-12 20:52:13,37.1041,-113.5841,72.43,20,0,5.99
62,Sulop,PH,2022-05-12 20:52:13,6.5986,125.3436,76.82,89,100,0.65
63,Iqaluit,CA,2022-05-12 20:52:14,63.7506,-68.5145,24.53,73,40,19.57
64,Lexington,US,2022-05-12 20:47:33,37.9887,-84.4777,84.15,40,0,8.05
65,Lebu,CL,2022-05-12 20:52:15,-37.6167,-73.65,55.0,82,94,6.67
66,Faranah,GN,2022-05-12 20:52:15,10.0404,-10.7434,79.59,69,82,6.82
67,Hermanus,ZA,2022-05-12 20:51:22,-34.4187,19.2345,58.98,73,10,12.08
68,Matagami,CA,2022-05-12 20:52:16,49.7502,-77.6328,57.31,94,100,6.91
69,Coaldale,CA,2022-05-12 20:52:16,49.7167,-112.6185,58.68,41,75,13.8
70,Carnarvon,AU,2022-05-12 20:52:17,-24.8667,113.6333,69.3,72,99,24.67
71,Bredasdorp,ZA,2022-05-12 20:52:17,-34.5322,20.0403,55.87,66,1,8.55
72,Vao,NC,2022-05-12 20:52:18,-22.6667,167.4833,72.84,60,100,24.92
73,Narsaq,GL,2022-05-12 20:52:19,60.9167,-46.05,35.62,88,100,0.94
74,Skjervoy,NO,2022-05-12 20:52:19,70.0311,20.9714,35.6,99,100,12.28
75,Lagoa,PT,2022-05-12 20:52:20,39.05,-27.9833,60.17,69,88,12.97
76,Rawlins,US,2022-05-12 20:49:48,41.7911,-107.2387,46.35,70,100,33.38
77,Tura,IN,2022-05-12 20:52:20,25.5198,90.2201,71.65,97,62,5.1
78,Jutai,BR,2022-05-12 20:52:21,-5.1833,-68.9,82.54,82,48,2.35
79,Kirovsk,UA,2022-05-12 20:52:21,48.6375,38.6428,56.97,59,76,21.3
80,Ilulissat,GL,2022-05-12 20:52:22,69.2167,-51.1,22.89,78,20,2.01
81,Arraial Do Cabo,BR,2022-05-12 20:48:48,-22.9661,-42.0278,75.06,69,75,13.8
82,Avera,US,2022-05-12 20:52:23,33.194,-82.5271,82.38,54,88,12.84
83,Leningradskiy,RU,2022-05-12 20:52:23,69.3833,178.4167,24.1,77,21,5.57
84,Kaitangata,NZ,2022-05-12 20:52:24,-46.2817,169.8464,45.79,77,78,5.01
85,Barrow,US,2022-05-12 20:52:24,71.2906,-156.7887,26.62,80,100,9.22
86,Koslan,RU,2022-05-12 20:52:25,63.4564,48.8989,43.92,91,100,8.7
87,Jamestown,US,2022-05-12 20:49:24,42.097,-79.2353,82.04,19,0,4.61
88,Leh,IN,2022-05-12 20:52:25,34.1667,77.5833,47.03,39,19,4.9
89,Yacuiba,BO,2022-05-12 20:52:26,-22.038,-63.6797,74.17,73,100,0.0
90,Chokurdakh,RU,2022-05-12 20:52:26,70.6333,147.9167,26.28,93,100,8.1
91,Marfino,RU,2022-05-12 20:52:27,55.7028,37.3822,55.65,78,75,20.13
92,Dryden,CA,2022-05-12 20:52:27,49.7833,-92.7503,61.09,63,40,13.8
93,Santa Rosa,PH,2022-05-12 20:52:28,14.3122,121.1114,83.08,74,21,3.67
94,Navashino,RU,2022-05-12 20:53:28,55.5292,42.2003,51.84,97,100,15.46
95,Severo-Kurilsk,RU,2022-05-12 20:53:29,50.6789,156.125,40.57,90,71,3.0
96,Maunabo,PR,2022-05-12 20:53:29,18.0072,-65.8993,84.02,83,100,14.83
97,Bethel,US,2022-05-12 20:53:29,41.3712,-73.414,79.77,65,57,9.31
98,Nanortalik,GL,2022-05-12 20:53:30,60.1432,-45.2371,35.87,76,100,3.04
99,Los Llanos De Aridane,ES,2022-05-12 20:53:30,28.6585,-17.9182,65.95,88,75,12.66
100,Zasheyek,RU,2022-05-12 20:53:31,67.4066,32.5499,39.07,95,93,1.81
101,Nikolskoye,RU,2022-05-12 20:53:31,59.7035,30.7861,47.88,85,100,11.7
102,Miquelon,PM,2022-05-12 20:53:32,47.0975,-56.3814,53.6,75,65,20.47
103,Kapaa,US,2022-05-12 20:53:32,22.0752,-159.319,79.48,78,88,10.0
104,Khatanga,RU,2022-05-12 20:53:33,71.9667,102.5,8.42,94,12,10.29
105,Lakes Entrance,AU,2022-05-12 20:53:33,-37.8811,147.981,56.16,94,26,4.12
106,Hithadhoo,MV,2022-05-12 20:51:57,-0.6,73.0833,83.23,71,100,14.79
107,Bluff,NZ,2022-05-12 20:53:34,-46.6,168.3333,47.8,81,100,10.47
108,Touros,BR,2022-05-12 20:53:34,-5.1989,-35.4608,79.32,82,29,11.86
109,Fukue,JP,2022-05-12 20:53:35,32.6881,128.8419,66.34,96,100,14.25
